date,store_id,item_id,qty_sold,price,discount_pct,on_promo,stockout_flag,stock_on_hand,lead_time_days,unit_cost,holding_cost_rate,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_14,rolling_std_7,day_of_week,month,holding_cost,annual_demand,eoq,order_quantity
2023-01-29,S1,P1,44,178,20,1,0,81,7,100,0.2,29.0,29.0,24.0,25.857142857142858,26.785714285714285,4.913538149119948,6,1,20.0,528,51.38093031466052,447
2023-01-30,S1,P1,28,170,0,0,0,81,7,100,0.2,44.0,21.0,21.0,28.0,28.214285714285715,8.485281374238568,0,1,20.0,336,40.98780306383839,255
2023-01-31,S1,P1,27,186,0,0,0,91,7,100,0.2,28.0,29.0,22.0,29.0,28.714285714285715,7.916228058025277,1,1,20.0,324,40.24922359499622,233
2023-02-01,S1,P1,27,108,0,0,0,70,7,100,0.2,27.0,18.0,29.0,28.714285714285715,29.071428571428573,7.952238379104037,2,2,20.0,324,40.24922359499622,254
2023-02-02,S1,P1,27,101,0,0,0,81,7,100,0.2,27.0,31.0,29.0,30.0,28.928571428571427,6.531972647421807,3,2,20.0,324,40.24922359499622,243
2023-02-03,S1,P1,15,179,0,0,0,58,7,100,0.2,27.0,24.0,39.0,29.428571428571427,28.785714285714285,6.604471789556497,4,2,20.0,180,30.0,122
2023-02-04,S1,P1,43,179,26,1,1,21,7,100,0.2,15.0,29.0,30.0,28.142857142857142,27.071428571428573,8.454359258760562,5,2,20.0,516,50.79370039680118,495
2023-02-05,S1,P1,33,196,0,0,1,20,7,100,0.2,43.0,44.0,29.0,30.142857142857142,28.0,10.172324733127155,6,2,20.0,396,44.49719092257398,376
2023-02-06,S1,P1,27,117,0,0,0,89,7,100,0.2,33.0,28.0,21.0,28.571428571428573,28.285714285714285,8.36375399879629,0,2,20.0,324,40.24922359499622,235
2023-02-07,S1,P1,35,172,0,0,0,75,7,100,0.2,27.0,27.0,29.0,28.428571428571427,28.714285714285715,8.38365757206926,1,2,20.0,420,45.8257569495584,345
2023-02-08,S1,P1,29,188,0,0,0,89,7,100,0.2,35.0,27.0,18.0,29.571428571428573,29.142857142857142,8.695921320886454,2,2,20.0,348,41.71330722922842,259
2023-02-09,S1,P1,35,173,25,1,0,92,7,100,0.2,29.0,27.0,31.0,29.857142857142858,29.928571428571427,8.629958891917763,3,2,20.0,420,45.8257569495584,328
2023-02-10,S1,P1,48,139,13,1,1,38,7,100,0.2,35.0,15.0,24.0,31.0,30.214285714285715,8.717797887081348,4,2,20.0,576,53.665631459994955,538
2023-02-11,S1,P1,31,197,0,0,0,38,7,100,0.2,48.0,43.0,29.0,35.714285714285715,31.928571428571427,7.454624643228435,5,2,20.0,372,43.12771730569565,334
2023-02-12,S1,P1,25,131,0,0,0,58,7,100,0.2,31.0,33.0,44.0,34.0,32.07142857142857,6.85565460040105,6,2,20.0,300,38.72983346207417,242
2023-02-13,S1,P1,41,91,20,1,0,76,7,100,0.2,25.0,27.0,28.0,32.857142857142854,30.714285714285715,7.66873678056066,0,2,20.0,492,49.59838707054898,416
2023-02-14,S1,P1,43,162,29,1,0,79,7,100,0.2,41.0,35.0,27.0,34.857142857142854,31.642857142857142,7.712080813644953,1,2,20.0,516,50.79370039680118,437
2023-02-15,S1,P1,19,189,0,0,0,67,7,100,0.2,43.0,29.0,27.0,36.0,32.785714285714285,8.306623862918082,2,2,20.0,228,33.76388603226827,161
2023-02-16,S1,P1,31,97,0,0,0,38,7,100,0.2,19.0,35.0,27.0,34.57142857142857,32.214285714285715,10.3256499853059,3,2,20.0,372,43.12771730569565,334
2023-02-17,S1,P1,39,103,29,1,0,43,7,100,0.2,31.0,48.0,15.0,34.0,32.5,10.408329997330668,4,2,20.0,468,48.373546489791295,425
2023-02-18,S1,P1,34,153,0,0,0,91,7,100,0.2,39.0,31.0,43.0,32.714285714285715,34.214285714285715,8.82636742407441,5,2,20.0,408,45.16635916254486,317
2023-02-19,S1,P1,37,142,0,0,0,44,7,100,0.2,34.0,25.0,33.0,33.142857142857146,33.57142857142857,8.802056036869484,6,2,20.0,444,47.11687595755899,400
2023-02-20,S1,P1,21,117,0,0,0,54,7,100,0.2,37.0,41.0,27.0,34.857142857142854,33.857142857142854,8.091735937126876,0,2,20.0,252,35.4964786985977,198
2023-02-21,S1,P1,20,97,0,0,0,40,7,100,0.2,21.0,43.0,35.0,32.0,33.42857142857143,9.03696114115064,1,2,20.0,240,34.64101615137755,200
2023-02-22,S1,P1,42,164,26,1,0,52,7,100,0.2,20.0,19.0,29.0,28.714285714285715,32.357142857142854,8.538428538364764,2,2,20.0,504,50.19960159204453,452
2023-02-23,S1,P1,32,87,0,0,0,41,7,100,0.2,42.0,31.0,35.0,32.0,33.285714285714285,8.602325267042628,3,2,20.0,384,43.81780460041329,343
2023-02-24,S1,P1,38,79,11,1,0,40,7,100,0.2,32.0,39.0,48.0,32.142857142857146,33.07142857142857,8.591246929842246,4,2,20.0,456,47.74934554525329,416
2023-02-25,S1,P1,33,110,0,0,0,83,7,100,0.2,38.0,34.0,31.0,32.0,32.357142857142854,8.465616732800196,5,2,20.0,396,44.49719092257398,313
2023-02-26,S1,P1,45,95,0,0,1,36,7,100,0.2,33.0,37.0,25.0,31.857142857142858,32.5,8.434622525214579,6,2,20.0,540,51.96152422706632,504
2023-02-27,S1,P1,38,73,12,1,0,56,7,100,0.2,45.0,21.0,41.0,33.0,33.92857142857143,9.69535971483266,0,2,20.0,456,47.74934554525329,400
2023-02-28,S1,P1,29,165,0,0,0,79,7,100,0.2,38.0,20.0,43.0,35.42857142857143,33.714285714285715,8.202786982831771,1,2,20.0,348,41.71330722922842,269
2023-03-01,S1,P1,16,116,0,0,0,51,7,100,0.2,29.0,42.0,19.0,36.71428571428572,32.714285714285715,5.707138387268059,2,3,20.0,192,30.983866769659336,141
2023-03-02,S1,P1,40,73,12,1,0,65,7,100,0.2,16.0,32.0,31.0,33.0,32.5,9.12870929175277,3,3,20.0,480,48.98979485566356,415
2023-03-03,S1,P1,19,135,0,0,0,66,7,100,0.2,40.0,38.0,39.0,34.142857142857146,33.142857142857146,9.476788686550094,4,3,20.0,228,33.76388603226827,162
2023-03-04,S1,P1,24,153,0,0,0,36,7,100,0.2,19.0,33.0,34.0,31.428571428571427,31.714285714285715,10.81445241112008,5,3,20.0,288,37.94733192202055,252
2023-03-05,S1,P1,27,88,0,0,0,62,7,100,0.2,24.0,45.0,37.0,30.142857142857142,31.0,11.126972805283732,6,3,20.0,324,40.24922359499622,262
2023-03-06,S1,P1,43,184,22,1,0,79,7,100,0.2,27.0,38.0,21.0,27.571428571428573,30.285714285714285,8.997354108424368,0,3,20.0,516,50.79370039680118,437
2023-03-07,S1,P1,22,69,0,0,0,64,7,100,0.2,43.0,29.0,20.0,28.285714285714285,31.857142857142858,10.094788848943884,1,3,20.0,264,36.3318042491699,200
2023-03-08,S1,P1,32,164,0,0,0,95,7,100,0.2,22.0,16.0,42.0,27.285714285714285,32.0,10.355582805332356,2,3,20.0,384,43.81780460041329,289
2023-03-09,S1,P1,30,81,0,0,0,85,7,100,0.2,32.0,40.0,32.0,29.571428571428573,31.285714285714285,9.144345117013442,3,3,20.0,360,42.42640687119285,275
2023-03-10,S1,P1,23,174,0,0,0,82,7,100,0.2,30.0,19.0,38.0,28.142857142857142,31.142857142857142,7.94624799152764,4,3,20.0,276,37.14835124201342,194
2023-03-11,S1,P1,47,119,26,1,0,71,7,100,0.2,23.0,24.0,33.0,28.714285714285715,30.071428571428573,7.296444013222822,5,3,20.0,564,53.103672189407014,493
2023-03-12,S1,P1,32,102,0,0,1,27,7,100,0.2,47.0,27.0,45.0,32.0,31.071428571428573,9.626352718795768,6,3,20.0,384,43.81780460041329,357
2023-03-13,S1,P1,16,152,0,0,0,24,7,100,0.2,32.0,43.0,38.0,32.714285714285715,30.142857142857142,9.375753937938107,0,3,20.0,192,30.983866769659336,168
2023-03-14,S1,P1,37,193,0,0,0,71,7,100,0.2,16.0,22.0,29.0,28.857142857142858,28.571428571428573,9.9737751366366,1,3,20.0,444,47.11687595755899,373
2023-03-15,S1,P1,48,196,19,1,0,49,7,100,0.2,37.0,32.0,16.0,31.0,29.142857142857142,9.865765724632494,2,3,20.0,576,53.665631459994955,527
2023-03-16,S1,P1,22,139,0,0,0,74,7,100,0.2,48.0,30.0,40.0,33.285714285714285,31.428571428571427,11.799919289473774,3,3,20.0,264,36.3318042491699,190
2023-03-17,S1,P1,30,72,0,0,0,81,7,100,0.2,22.0,23.0,19.0,32.142857142857146,30.142857142857142,12.535663410560174,4,3,20.0,360,42.42640687119285,279
2023-03-18,S1,P1,40,83,0,0,1,20,7,100,0.2,30.0,47.0,24.0,33.142857142857146,30.928571428571427,11.950293879630069,5,3,20.0,480,48.98979485566356,460
2023-03-19,S1,P1,27,138,0,0,0,67,7,100,0.2,40.0,32.0,27.0,32.142857142857146,32.07142857142857,10.838643387259795,6,3,20.0,324,40.24922359499622,257
2023-03-20,S1,P1,32,118,16,1,0,83,7,100,0.2,27.0,16.0,43.0,31.428571428571427,32.07142857142857,11.012979355547447,0,3,20.0,384,43.81780460041329,301
2023-03-21,S1,P1,30,125,0,0,0,86,7,100,0.2,32.0,37.0,22.0,33.714285714285715,31.285714285714285,8.693182879212227,1,3,20.0,360,42.42640687119285,274
2023-03-22,S1,P1,20,118,0,0,0,48,7,100,0.2,30.0,48.0,32.0,32.714285714285715,31.857142857142858,8.654753717163874,2,3,20.0,240,34.64101615137755,192
2023-03-23,S1,P1,27,193,0,0,0,81,7,100,0.2,20.0,22.0,30.0,28.714285714285715,31.0,6.651172470932864,3,3,20.0,324,40.24922359499622,243
2023-03-24,S1,P1,25,150,0,0,0,52,7,100,0.2,27.0,30.0,23.0,29.428571428571427,30.785714285714285,6.051367417290704,4,3,20.0,300,38.72983346207417,248
2023-03-25,S1,P1,26,118,0,0,0,29,7,100,0.2,25.0,40.0,47.0,28.714285714285715,30.928571428571427,6.264031867582985,5,3,20.0,312,39.496835316262995,283
2023-03-26,S1,P1,29,145,0,0,0,38,7,100,0.2,26.0,27.0,32.0,26.714285714285715,29.428571428571427,3.817254061682097,6,3,20.0,348,41.71330722922842,310
2023-03-27,S1,P1,41,65,14,1,1,23,7,100,0.2,29.0,32.0,16.0,27.0,29.214285714285715,3.915780041490231,0,3,20.0,492,49.59838707054898,469
2023-03-28,S1,P1,26,133,0,0,0,51,7,100,0.2,41.0,30.0,37.0,28.285714285714285,31.0,6.47338874970149,1,3,20.0,312,39.496835316262995,261
2023-03-29,S1,P1,22,173,0,0,0,69,7,100,0.2,26.0,20.0,48.0,27.714285714285715,30.214285714285715,6.473388749701489,2,3,20.0,264,36.3318042491699,195
2023-03-30,S1,P1,40,114,21,1,0,86,7,100,0.2,22.0,27.0,22.0,28.0,28.357142857142858,6.110100926607779,3,3,20.0,480,48.98979485566356,394
2023-03-31,S1,P1,37,93,19,1,0,62,7,100,0.2,40.0,25.0,30.0,29.857142857142858,29.642857142857142,7.559289460184542,4,3,20.0,444,47.11687595755899,382
2023-04-01,S1,P1,26,130,0,0,0,54,7,100,0.2,37.0,26.0,40.0,31.571428571428573,30.142857142857142,7.634508123364221,5,4,20.0,312,39.496835316262995,258
2023-04-02,S1,P1,27,139,0,0,0,45,7,100,0.2,26.0,29.0,27.0,31.571428571428573,29.142857142857142,7.634508123364221,6,4,20.0,324,40.24922359499622,279
2023-04-03,S1,P1,19,163,0,0,0,77,7,100,0.2,27.0,41.0,32.0,31.285714285714285,29.142857142857142,7.782764841072134,0,4,20.0,228,33.76388603226827,151
2023-04-04,S1,P1,21,169,0,0,0,48,7,100,0.2,19.0,26.0,30.0,28.142857142857142,28.214285714285715,7.646972634722213,1,4,20.0,252,35.4964786985977,204
2023-04-05,S1,P1,30,150,0,0,1,29,7,100,0.2,21.0,22.0,20.0,27.428571428571427,27.571428571428573,8.100558475750146,2,4,20.0,360,42.42640687119285,331
2023-04-06,S1,P1,29,148,0,0,0,83,7,100,0.2,30.0,40.0,27.0,28.571428571428573,28.285714285714285,7.764387566686391,3,4,20.0,348,41.71330722922842,265
2023-04-07,S1,P1,17,86,0,0,0,43,7,100,0.2,29.0,37.0,25.0,27.0,28.428571428571427,5.972157622389629,4,4,20.0,204,31.937438845342623,161
2023-04-08,S1,P1,25,62,0,0,0,74,7,100,0.2,17.0,26.0,26.0,24.142857142857142,27.857142857142858,5.113008619478059,5,4,20.0,300,38.72983346207417,226
2023-04-09,S1,P1,26,133,0,0,0,81,7,100,0.2,25.0,27.0,29.0,24.0,27.785714285714285,5.066228051190199,6,4,20.0,312,39.496835316262995,231
2023-04-10,S1,P1,42,68,22,1,0,78,7,100,0.2,26.0,19.0,41.0,23.857142857142858,27.571428571428573,4.980915960897512,0,4,20.0,504,50.19960159204453,426
2023-04-11,S1,P1,40,166,28,1,1,35,7,100,0.2,42.0,21.0,26.0,27.142857142857142,27.642857142857142,7.94624799152764,1,4,20.0,480,48.98979485566356,445
2023-04-12,S1,P1,25,74,0,0,0,31,7,100,0.2,40.0,30.0,22.0,29.857142857142858,28.642857142857142,8.706866474772875,2,4,20.0,300,38.72983346207417,269
2023-04-13,S1,P1,31,88,25,1,0,76,7,100,0.2,25.0,29.0,40.0,29.142857142857142,28.857142857142858,8.89622712968015,3,4,20.0,372,43.12771730569565,296
2023-04-14,S1,P1,27,191,0,0,0,61,7,100,0.2,31.0,17.0,37.0,29.428571428571427,28.214285714285715,8.922950611711778,4,4,20.0,324,40.24922359499622,263
2023-04-15,S1,P1,36,195,20,1,0,94,7,100,0.2,27.0,25.0,26.0,30.857142857142858,27.5,7.24404517353326,5,4,20.0,432,46.475800154489,338
2023-04-16,S1,P1,55,194,18,1,0,93,7,100,0.2,36.0,26.0,27.0,32.42857142857143,28.214285714285715,6.94879228972304,6,4,20.0,660,57.445626465380286,567
2023-04-17,S1,P1,36,78,11,1,1,24,7,100,0.2,55.0,42.0,19.0,36.57142857142857,30.214285714285715,10.309496315810703,0,4,20.0,432,46.475800154489,408
2023-04-18,S1,P1,27,158,0,0,0,27,7,100,0.2,36.0,40.0,21.0,35.714285714285715,31.428571428571427,10.028530728448148,1,4,20.0,324,40.24922359499622,297
2023-04-19,S1,P1,44,85,22,1,1,23,7,100,0.2,27.0,25.0,30.0,33.857142857142854,31.857142857142858,10.302565561201602,2,4,20.0,528,51.38093031466052,505
2023-04-20,S1,P1,23,68,0,0,0,50,7,100,0.2,44.0,31.0,29.0,36.57142857142857,32.857142857142854,10.080627342534184,3,4,20.0,276,37.14835124201342,226
2023-04-21,S1,P1,27,88,0,0,0,38,7,100,0.2,23.0,27.0,17.0,35.42857142857143,32.42857142857143,11.207990347026884,4,4,20.0,324,40.24922359499622,286
2023-04-22,S1,P1,38,190,0,0,0,64,7,100,0.2,27.0,36.0,25.0,35.42857142857143,33.142857142857146,11.207990347026884,5,4,20.0,456,47.74934554525329,392
2023-04-23,S1,P1,38,110,0,0,0,91,7,100,0.2,38.0,55.0,26.0,35.714285714285715,34.07142857142857,11.250396818398396,6,4,20.0,456,47.74934554525329,365
2023-04-24,S1,P1,29,180,16,1,1,20,7,100,0.2,38.0,36.0,42.0,33.285714285714285,34.92857142857143,7.653197277702227,0,4,20.0,348,41.71330722922842,328
2023-04-25,S1,P1,28,105,0,0,0,44,7,100,0.2,29.0,27.0,40.0,32.285714285714285,34.0,7.696628822939004,1,4,20.0,336,40.98780306383839,292
2023-04-26,S1,P1,26,107,0,0,1,25,7,100,0.2,28.0,44.0,25.0,32.42857142857143,33.142857142857146,7.590721152765909,2,4,20.0,312,39.496835316262995,287
2023-04-27,S1,P1,27,69,0,0,0,38,7,100,0.2,26.0,23.0,31.0,29.857142857142858,33.214285714285715,5.87164291116129,3,4,20.0,324,40.24922359499622,286
2023-04-28,S1,P1,26,98,0,0,0,66,7,100,0.2,27.0,27.0,27.0,30.428571428571427,32.92857142857143,5.255382728122452,4,4,20.0,312,39.496835316262995,246
2023-04-29,S1,P1,29,193,0,0,1,22,7,100,0.2,26.0,38.0,36.0,30.285714285714285,32.857142857142854,5.376314900074406,5,4,20.0,348,41.71330722922842,326
2023-04-30,S1,P1,40,61,0,0,0,94,7,100,0.2,29.0,38.0,55.0,29.0,32.357142857142854,4.163331998932283,6,4,20.0,480,48.98979485566356,386
2023-05-01,S1,P1,21,139,0,0,0,55,7,100,0.2,40.0,29.0,36.0,29.285714285714285,31.285714285714285,4.88924962594078,0,5,20.0,252,35.4964786985977,197
2023-05-02,S1,P1,24,77,0,0,0,79,7,100,0.2,21.0,28.0,27.0,28.142857142857142,30.214285714285715,5.814595756329407,1,5,20.0,288,37.94733192202055,209
2023-05-03,S1,P1,29,190,25,1,0,48,7,100,0.2,24.0,26.0,44.0,27.571428571428573,30.0,6.023762469230872,2,5,20.0,348,41.71330722922842,300
2023-05-04,S1,P1,40,96,15,1,0,88,7,100,0.2,29.0,27.0,23.0,28.0,28.928571428571427,6.000000000000012,3,5,20.0,480,48.98979485566356,392
2023-05-05,S1,P1,26,167,0,0,0,52,7,100,0.2,40.0,26.0,27.0,29.857142857142858,30.142857142857142,7.470577207252727,4,5,20.0,312,39.496835316262995,260
2023-05-06,S1,P1,51,60,24,1,0,68,7,100,0.2,26.0,29.0,38.0,29.857142857142858,30.071428571428573,7.470577207252727,5,5,20.0,612,55.31726674375732,544
2023-05-07,S1,P1,38,147,26,1,0,96,7,100,0.2,51.0,40.0,38.0,33.0,31.0,10.893423092245468,6,5,20.0,456,47.74934554525329,360
2023-05-08,S1,P1,32,198,0,0,1,20,7,100,0.2,38.0,21.0,29.0,32.714285714285715,31.0,10.703804397102402,0,5,20.0,384,43.81780460041329,364
2023-05-09,S1,P1,26,132,0,0,0,56,7,100,0.2,32.0,24.0,28.0,34.285714285714285,31.214285714285715,9.428932172031043,1,5,20.0,312,39.496835316262995,256
2023-05-10,S1,P1,26,159,0,0,0,97,7,100,0.2,26.0,29.0,26.0,34.57142857142857,31.071428571428573,9.089502055616014,2,5,20.0,312,39.496835316262995,215
2023-05-11,S1,P1,21,162,0,0,0,84,7,100,0.2,26.0,40.0,27.0,34.142857142857146,31.071428571428573,9.459185508075768,3,5,20.0,252,35.4964786985977,168
2023-05-12,S1,P1,21,141,0,0,0,53,7,100,0.2,21.0,26.0,26.0,31.428571428571427,30.642857142857142,10.195704043977596,4,5,20.0,252,35.4964786985977,199
2023-05-13,S1,P1,29,103,27,1,0,31,7,100,0.2,21.0,51.0,29.0,30.714285714285715,30.285714285714285,10.796824930109256,5,5,20.0,348,41.71330722922842,317
2023-05-14,S1,P1,45,134,26,1,0,66,7,100,0.2,29.0,38.0,40.0,27.571428571428573,30.285714285714285,6.0788470084697135,6,5,20.0,540,51.96152422706632,474
2023-05-15,S1,P1,44,99,11,1,0,57,7,100,0.2,45.0,32.0,21.0,28.571428571428573,30.642857142857142,8.263517065131195,0,5,20.0,528,51.38093031466052,471
2023-05-16,S1,P1,28,128,0,0,0,49,7,100,0.2,44.0,26.0,24.0,30.285714285714285,32.285714285714285,10.12775535700921,1,5,20.0,336,40.98780306383839,287
2023-05-17,S1,P1,30,128,0,0,0,57,7,100,0.2,28.0,26.0,29.0,30.571428571428573,32.57142857142857,10.014275524755371,2,5,20.0,360,42.42640687119285,303
2023-05-18,S1,P1,25,130,0,0,0,70,7,100,0.2,30.0,21.0,40.0,31.142857142857142,32.642857142857146,9.822229404579726,3,5,20.0,300,38.72983346207417,230
2023-05-19,S1,P1,25,83,0,0,0,88,7,100,0.2,25.0,21.0,26.0,31.714285714285715,31.571428571428573,9.232447954800252,4,5,20.0,300,38.72983346207417,212
2023-05-20,S1,P1,35,175,0,0,0,85,7,100,0.2,25.0,29.0,51.0,32.285714285714285,31.5,8.557925872435176,5,5,20.0,420,45.8257569495584,335
2023-05-21,S1,P1,24,129,0,0,0,42,7,100,0.2,35.0,45.0,38.0,33.142857142857146,30.357142857142858,8.474050024015902,6,5,20.0,288,37.94733192202055,246
2023-05-22,S1,P1,29,57,0,0,0,35,7,100,0.2,24.0,44.0,32.0,30.142857142857142,29.357142857142858,7.197883286739511,0,5,20.0,348,41.71330722922842,313
2023-05-23,S1,P1,28,142,0,0,0,86,7,100,0.2,29.0,28.0,26.0,28.0,29.142857142857142,3.829708431025383,1,5,20.0,336,40.98780306383839,250
2023-05-24,S1,P1,34,70,28,1,0,38,7,100,0.2,28.0,30.0,26.0,28.0,29.285714285714285,3.829708431025383,2,5,20.0,408,45.16635916254486,370
2023-05-25,S1,P1,23,119,0,0,0,40,7,100,0.2,34.0,25.0,21.0,28.571428571428573,29.857142857142858,4.42933941113659,3,5,20.0,276,37.14835124201342,236
2023-05-26,S1,P1,22,139,0,0,0,31,7,100,0.2,23.0,25.0,21.0,28.285714285714285,30.0,4.750939756661706,4,5,20.0,264,36.3318042491699,233
2023-05-27,S1,P1,25,170,0,0,0,66,7,100,0.2,22.0,35.0,29.0,27.857142857142858,30.071428571428573,5.209880722517299,5,5,20.0,300,38.72983346207417,234
2023-05-28,S1,P1,25,143,0,0,0,75,7,100,0.2,25.0,24.0,45.0,26.428571428571427,29.785714285714285,4.197504927816985,6,5,20.0,300,38.72983346207417,225
2023-05-29,S1,P1,24,50,0,0,0,55,7,100,0.2,25.0,29.0,44.0,26.571428571428573,28.357142857142858,4.117326918327134,0,5,20.0,288,37.94733192202055,233
2023-05-30,S1,P1,20,96,0,0,0,71,7,100,0.2,24.0,28.0,28.0,25.857142857142858,26.928571428571427,4.05908739450024,1,5,20.0,240,34.64101615137755,169
2023-05-31,S1,P1,24,179,0,0,0,97,7,100,0.2,20.0,34.0,30.0,24.714285714285715,26.357142857142858,4.46147530585592,2,5,20.0,288,37.94733192202055,191
2023-06-01,S1,P1,14,105,0,0,0,33,7,100,0.2,24.0,23.0,25.0,23.285714285714285,25.928571428571427,1.799470821684955,3,6,20.0,168,28.982753492378876,135
2023-06-02,S1,P1,41,87,20,1,1,37,7,100,0.2,14.0,22.0,25.0,22.0,25.142857142857142,3.958114029012677,4,6,20.0,492,49.59838707054898,455
2023-06-03,S1,P1,27,168,0,0,0,34,7,100,0.2,41.0,25.0,35.0,24.714285714285715,26.285714285714285,8.199883855158896,5,6,20.0,324,40.24922359499622,290
2023-06-04,S1,P1,30,74,0,0,0,63,7,100,0.2,27.0,25.0,24.0,25.0,25.714285714285715,8.246211251235337,6,6,20.0,360,42.42640687119285,297
2023-06-05,S1,P1,38,117,29,1,0,44,7,100,0.2,30.0,24.0,29.0,25.714285714285715,26.142857142857142,8.459989868281689,0,6,20.0,456,47.74934554525329,412
2023-06-06,S1,P1,32,160,0,0,0,53,7,100,0.2,38.0,20.0,28.0,27.714285714285715,26.785714285714285,9.569296137722398,1,6,20.0,384,43.81780460041329,331
2023-06-07,S1,P1,19,150,0,0,0,61,7,100,0.2,32.0,24.0,34.0,29.428571428571427,27.071428571428573,9.01585904313696,2,6,20.0,228,33.76388603226827,167
2023-06-08,S1,P1,32,108,0,0,0,75,7,100,0.2,19.0,14.0,23.0,28.714285714285715,26.0,9.690446940402806,3,6,20.0,384,43.81780460041329,309
2023-06-09,S1,P1,32,199,14,1,0,52,7,100,0.2,32.0,41.0,22.0,31.285714285714285,26.642857142857142,7.204495950776993,4,6,20.0,384,43.81780460041329,332
2023-06-10,S1,P1,28,111,0,0,0,94,7,100,0.2,32.0,27.0,25.0,30.0,27.357142857142858,5.8594652770823314,5,6,20.0,336,40.98780306383839,242
2023-06-11,S1,P1,40,80,18,1,1,22,7,100,0.2,28.0,30.0,25.0,30.142857142857142,27.571428571428573,5.785861256216801,6,6,20.0,480,48.98979485566356,458
2023-06-12,S1,P1,27,124,0,0,0,85,7,100,0.2,40.0,38.0,24.0,31.571428571428573,28.642857142857142,6.876460883747865,0,6,20.0,324,40.24922359499622,239
2023-06-13,S1,P1,38,111,15,1,0,70,7,100,0.2,27.0,32.0,20.0,30.0,28.857142857142858,6.4031242374328645,1,6,20.0,456,47.74934554525329,386
2023-06-14,S1,P1,26,93,0,0,0,70,7,100,0.2,38.0,19.0,24.0,30.857142857142858,30.142857142857142,7.0811621322250025,2,6,20.0,312,39.496835316262995,242
2023-06-15,S1,P1,29,167,0,0,0,45,7,100,0.2,26.0,32.0,14.0,31.857142857142858,30.285714285714285,5.42919795883247,3,6,20.0,348,41.71330722922842,303
2023-06-16,S1,P1,21,96,0,0,0,31,7,100,0.2,29.0,32.0,41.0,31.428571428571427,31.357142857142858,5.533448076836703,4,6,20.0,252,35.4964786985977,221
2023-06-17,S1,P1,34,113,0,0,1,33,7,100,0.2,21.0,28.0,27.0,29.857142857142858,29.928571428571427,6.768273325562734,5,6,20.0,408,45.16635916254486,375
2023-06-18,S1,P1,46,183,22,1,1,22,7,100,0.2,34.0,40.0,30.0,30.714285714285715,30.428571428571427,6.872997543873811,6,6,20.0,552,52.53570214625479,530
2023-06-19,S1,P1,21,54,0,0,0,29,7,100,0.2,46.0,27.0,38.0,31.571428571428573,31.571428571428573,8.423323628614844,0,6,20.0,252,35.4964786985977,223
